Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Notes
Netherlands,3,2,1,0,5,1,4,7,2.4,2.7,-0.3,-0.11,→ Round of 16
Senegal,3,2,0,1,5,4,1,6,3.8,2.5,1.3,0.43,→ Round of 16
Ecuador,3,1,1,1,4,3,1,4,3.7,2.6,1.2,0.39,
Qatar,3,0,0,3,1,7,-6,0,1.4,3.5,-2.1,-0.71,
England,3,2,1,0,9,2,7,7,5.2,2.3,2.9,0.97,→ Round of 16
United States,3,1,2,0,2,1,1,5,2.6,2.7,-0.1,-0.03,→ Round of 16
Iran,3,1,0,2,4,7,-3,3,3.2,4.2,-0.9,-0.32,
Wales,3,0,1,2,1,6,-5,1,2.7,4.6,-1.9,-0.63,
Argentina,3,2,0,1,5,2,3,6,6,0.7,5.2,1.74,→ Round of 16
Poland,3,1,1,1,2,2,0,4,2.8,5.9,-3.1,-1.04,→ Round of 16
Mexico,3,1,1,1,2,3,-1,4,3.3,2.4,0.9,0.3,
Saudi Arabia,3,1,0,2,3,5,-2,3,3,6,-3,-1.01,
France,3,2,0,1,6,3,3,6,7.2,1.6,5.5,1.85,→ Round of 16
Australia,3,2,0,1,3,4,-1,6,1.7,5.6,-3.9,-1.29,→ Round of 16
Tunisia,3,1,1,1,1,1,0,4,2.3,2.8,-0.5,-0.17,
Denmark,3,0,1,2,1,3,-2,1,2.7,3.9,-1.2,-0.39,
Japan,3,2,0,1,4,3,1,6,3.8,4.2,-0.4,-0.14,→ Round of 16
Spain,3,1,1,1,9,3,6,4,5.2,2.7,2.5,0.82,→ Round of 16
Germany,3,1,1,1,6,5,1,4,10.1,3.4,6.7,2.22,
Costa Rica,3,1,0,2,3,11,-8,3,1.4,10.1,-8.7,-2.9,
Morocco,3,2,1,0,4,1,3,7,2.4,2.8,-0.5,-0.15,→ Round of 16
Croatia,3,1,2,0,4,1,3,5,3.8,3.8,0,-0.01,→ Round of 16
Belgium,3,1,1,1,1,2,-1,4,4.7,4.6,0.2,0.05,
Canada,3,0,0,3,2,7,-5,0,4.2,3.9,0.3,0.11,
Brazil,3,2,0,1,3,1,2,6,5.9,0.9,4.9,1.65,→ Round of 16
Switzerland,3,2,0,1,4,3,1,6,4.4,3.1,1.4,0.45,→ Round of 16
Cameroon,3,1,1,1,4,4,0,4,3.4,5.8,-2.3,-0.78,
Serbia,3,0,1,2,5,8,-3,1,3.4,7.3,-3.9,-1.32,
Portugal,3,2,0,1,6,4,2,6,4.6,3.9,0.7,0.24,→ Round of 16
Korea Republic,3,1,1,1,4,4,0,4,4.1,3.5,0.6,0.19,→ Round of 16
Uruguay,3,1,1,1,2,2,0,4,3.7,3.5,0.1,0.05,
Ghana,3,1,0,2,5,7,-2,3,4.1,5.6,-1.4,-0.48,
